Player 1,Player 2,Round,Time,Venue,Notes
Alex Kumar,David Chen,Round of 16 - Match 1,9:00 AM,Recreation Hall,
Raj Patel,Li Wei,Round of 16 - Match 2,9:30 AM,Recreation Hall,
Mohammed Ali,Yuki Tanaka,Round of 16 - Match 3,10:00 AM,Recreation Hall,
Carlos Santos,Ivan Petrov,Round of 16 - Match 4,10:30 AM,Recreation Hall,
James Wilson,Kim Min-ho,Round of 16 - Match 5,11:00 AM,Recreation Hall,
Andre Silva,Hans Mueller,Round of 16 - Match 6,11:30 AM,Recreation Hall,
Pablo Garcia,Jean Dubois,Round of 16 - Match 7,12:00 PM,Recreation Hall,
Marco Rossi,Lars Eriksson,Round of 16 - Match 8,12:30 PM,Recreation Hall,
,,Quarter Final 1,2:00 PM,Recreation Hall,
,,Quarter Final 2,2:30 PM,Recreation Hall,
,,Quarter Final 3,3:00 PM,Recreation Hall,
,,Quarter Final 4,3:30 PM,Recreation Hall,
,,Semifinal 1,4:00 PM,Recreation Hall,
,,Semifinal 2,4:30 PM,Recreation Hall,
,,3rd-4th Placing,5:00 PM,Recreation Hall,Bronze medal match
,,Final,5:30 PM,Recreation Hall,Championship match
